,pred_normal,pred_abuse,pred_arrest,pred_arson,pred_assault,pred_burglary,pred_explosion,pred_fighting,pred_road accident,pred_robbery,pred_shooting,pred_shoplifting,pred_stealing,pred_vandalism,pred_violence
true_normal,0.9351436857368838,0.0007909306617453203,0.0005272871078302136,0.0005272871078302136,0.0007909306617453203,0.0015818613234906407,0.0005272871078302136,0.0010545742156604272,0.004745583970471922,0.004218296862641709,0.0,0.0002636435539151068,0.0010545742156604272,0.002372791985235961,0.04640126548905879
true_abuse,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.3333333333333333,0.0
true_arrest,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0
true_arson,0.07692307692307693,0.0,0.07692307692307693,0.38461538461538464,0.0,0.0,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
true_assault,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
true_burglary,0.20689655172413793,0.0,0.0,0.06896551724137931,0.06896551724137931,0.2413793103448276,0.0,0.0,0.06896551724137931,0.10344827586206896,0.0,0.0,0.10344827586206896,0.13793103448275862,0.0
true_explosion,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.19230769230769232,0.0,0.038461538461538464,0.07692307692307693,0.0,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.0
true_fighting,0.07692307692307693,0.15384615384615385,0.0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,0.0
true_road accident,0.12903225806451613,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.12903225806451613,0.0967741935483871,0.45161290322580644,0.03225806451612903,0.0,0.0,0.0967741935483871,0.0,0.0
true_robbery,0.30434782608695654,0.043478260869565216,0.13043478260869565,0.0,0.08695652173913043,0.043478260869565216,0.0,0.0,0.0,0.30434782608695654,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0
true_shooting,0.12,0.02,0.08,0.02,0.0,0.12,0.0,0.0,0.1,0.02,0.0,0.0,0.08,0.02,0.42
true_shoplifting,0.4583333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.4166666666666667,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0
true_stealing,0.23076923076923078,0.0,0.0,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.23076923076923078,0.0,0.0
true_vandalism,0.26666666666666666,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.26666666666666666,0.0
true_violence,0.05248744865358284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9475125513464172
