split,model_key,model_name,pooling,topk_k,video_auc,video_ap,segment_expanded_roc_auc_APPROX_not_frame_gt,num_parameters,trainable_parameters,checkpoint_path,best_epoch,best_val_auc_from_training,best_val_ap_from_training,repro_seed,torch_version,torchvision_version,feature_based_note
val,baseline_mil,Baseline MIL,topk,4.0,0.9320990461372206,0.9287811286987003,0.8416387511912048,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,30,0.9320990461372206,0.9287811286987003,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,baseline_mil,Baseline MIL,max,,0.9275394967005532,0.9247975467793466,0.8794373940816901,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,30,0.9320990461372206,0.9287811286987003,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,topk,4.0,0.9304653351698806,0.9529994352018942,0.9161749771269561,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,30,0.9320990461372206,0.9287811286987003,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,max,,0.926516414141414,0.9505235239954459,0.9201346864003465,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,30,0.9320990461372206,0.9287811286987003,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,topk,4.0,0.9538330461460823,0.9489187875522171,0.953311160068768,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,14,0.9538330461460823,0.9489187875522171,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,max,,0.949515559532413,0.9367546038308763,0.9500493604334644,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,14,0.9538330461460823,0.9489187875522171,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,topk,4.0,0.9509318181818182,0.9656354271353279,0.9524972018573128,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,14,0.9538330461460823,0.9489187875522171,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,max,,0.9494431818181819,0.96094945129884,0.9511602148453386,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,14,0.9538330461460823,0.9489187875522171,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
