split,model_key,model_name,video_auc,video_ap,semantic_accuracy,semantic_macro_f1,semantic_weighted_f1,num_examples
val,attention_clip_semantic,Attention MIL + CLIP Semantic,0.9909802448285889,0.9877639657461305,0.949565637065637,0.3631029594506792,0.9495262612598321,4144
test,attention_clip_semantic,Attention MIL + CLIP Semantic,0.9765174471992654,0.9846077001843022,0.8871794871794871,0.23898495553626387,0.8858904254790045,4290
