split,model_key,model_name,pooling,topk_k,video_auc,video_ap,segment_label_expanded_auc_DIAGNOSTIC_not_frame_gt,official_frame_level_auc_available,num_parameters,best_epoch,video_auc_percent,video_ap_percent
test,attention_mil,Attention MIL,topk,4.0,0.9498484848484848,0.9630072839726576,0.9039775318696943,False,1743873,11,94.98484848484848,96.30072839726576
test,baseline_mil,Baseline MIL,topk,4.0,0.9311864095500458,0.9534256934701437,0.7524600631788371,False,263169,30,93.11864095500458,95.34256934701438
val,attention_mil,Attention MIL,topk,4.0,0.9507089665619826,0.9455493828994063,0.8971421029126665,False,1743873,11,95.07089665619826,94.55493828994062
val,baseline_mil,Baseline MIL,topk,4.0,0.9319290424782942,0.9280791409640415,0.7029222156476713,False,263169,30,93.19290424782942,92.80791409640415
