split,model_key,model_name,pooling,topk_k,video_auc,video_ap,segment_label_expanded_auc_DIAGNOSTIC_not_frame_gt,official_frame_level_auc_available,frame_level_note,num_parameters,trainable_parameters,checkpoint_path,best_epoch,best_val_auc_from_training,best_val_ap_from_training,repro_seed,torch_version,torchvision_version,feature_based_note
val,baseline_mil,Baseline MIL,topk,4.0,0.9319290424782942,0.9280791409640415,0.7029222156476713,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,30,0.9319290424782942,0.9280791409640415,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,baseline_mil,Baseline MIL,max,,0.927096880864281,0.9239925417592786,0.7029222156476713,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,30,0.9319290424782942,0.9280791409640415,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,topk,4.0,0.9311864095500458,0.9534256934701437,0.7524600631788371,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,30,0.9319290424782942,0.9280791409640415,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,max,,0.9273573232323233,0.9507301457464352,0.7524600631788371,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,30,0.9319290424782942,0.9280791409640415,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,topk,4.0,0.9507089665619826,0.9455493828994063,0.8971421029126665,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,11,0.9507089665619826,0.9455493828994063,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,max,,0.9480058151045802,0.9363175333021441,0.8971421029126665,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,11,0.9507089665619826,0.9455493828994063,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,topk,4.0,0.9498484848484848,0.9630072839726576,0.9039775318696943,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,11,0.9507089665619826,0.9455493828994063,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,max,,0.9484499540863177,0.9599876864384516,0.9039775318696943,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,11,0.9507089665619826,0.9455493828994063,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
