,pred_normal,pred_abuse,pred_arrest,pred_arson,pred_assault,pred_burglary,pred_explosion,pred_fighting,pred_road accident,pred_robbery,pred_shooting,pred_shoplifting,pred_stealing,pred_vandalism,pred_violence
true_normal,0.9665172686527814,0.0002636435539151068,0.0,0.0005272871078302136,0.0005272871078302136,0.0005272871078302136,0.001318217769575534,0.0,0.006063801740047456,0.002372791985235961,0.0002636435539151068,0.0005272871078302136,0.0010545742156604272,0.0002636435539151068,0.019773266543633008
true_abuse,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
true_arrest,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0
true_arson,0.15384615384615385,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.23076923076923078,0.0,0.15384615384615385,0.0,0.0,0.0,0.07692307692307693,0.0,0.0
true_assault,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
true_burglary,0.13793103448275862,0.0,0.0,0.0,0.034482758620689655,0.3448275862068966,0.0,0.0,0.20689655172413793,0.13793103448275862,0.034482758620689655,0.0,0.0,0.10344827586206896,0.0
true_explosion,0.4230769230769231,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0
true_fighting,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.0
true_road accident,0.22580645161290322,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.5161290322580645,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0
true_robbery,0.17391304347826086,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.30434782608695654,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0
true_shooting,0.18,0.0,0.06,0.02,0.02,0.06,0.0,0.0,0.12,0.04,0.18,0.02,0.04,0.0,0.26
true_shoplifting,0.4583333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.3333333333333333,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0
true_stealing,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0
true_vandalism,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.0,0.0
true_violence,0.08306709265175719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006846188954815153,0.0,0.0,0.0,0.9162482884527613
