split,baseline_auc,attention_auc,auc_gain,baseline_ap,attention_ap,ap_gain,interpretation
val,0.9319290424782942,0.9507089665619826,0.018779924083688337,0.9280791409640415,0.9455493828994063,0.017470241935364728,Attention MIL improves over Baseline MIL
test,0.9311864095500458,0.9498484848484848,0.018662075298438996,0.9534256934701437,0.9630072839726576,0.009581590502513837,Attention MIL improves over Baseline MIL
