split,model,pooling,video_auc,video_ap,segment_expanded_roc_auc_APPROX_not_frame_gt,num_parameters,repro_seed,torch_version,torchvision_version,repro_note
val,baseline_mil,topk,0.9673100920375091,0.965833153916358,0.930463981620604,2100225,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,baseline_mil,max,0.9600670966429989,0.9560887892557173,0.8799588626588974,2100225,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,baseline_mil,topk,0.9533070477502297,0.9606833493122529,0.9439291685512159,2100225,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,baseline_mil,max,0.9430941230486685,0.9556153731792828,0.9241143024789144,2100225,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,attention_mil,topk,0.9599008242029241,0.960611083832166,0.9580519387380186,3187713,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,attention_mil,max,0.9596051251089341,0.9601815894282397,0.9570121922604993,3187713,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,attention_mil,topk,0.9514903581267218,0.9691048731333297,0.9475480433574501,3187713,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,attention_mil,max,0.9511866391184572,0.9688755092483937,0.9474097263096378,3187713,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
