split,model,pooling,video_auc,video_ap,segment_expanded_roc_auc_APPROX_not_frame_gt,num_parameters,repro_seed,torch_version,torchvision_version,repro_note
val,baseline_mil,topk,0.919432943082688,0.9008080662563391,0.919432943082688,1049601,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,baseline_mil,max,0.919432943082688,0.9008080662563391,0.919432943082688,1049601,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,baseline_mil,topk,0.8429916897506925,0.8464894059132173,0.8429916897506925,1049601,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,baseline_mil,max,0.8429916897506925,0.8464894059132173,0.8429916897506925,1049601,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,attention_mil,topk,0.9554301984314446,0.9555524628275543,0.9554301984314446,2137089,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,attention_mil,max,0.9554301984314446,0.9555524628275543,0.9554301984314446,2137089,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,attention_mil,topk,0.8664819944598338,0.8734055013182302,0.8664819944598338,2137089,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,attention_mil,max,0.8664819944598338,0.8734055013182302,0.8664819944598338,2137089,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
