split,model_key,model_name,pooling,topk_k,video_auc,video_ap,segment_expanded_roc_auc_APPROX_not_frame_gt,num_parameters,trainable_parameters,checkpoint_path,best_epoch,best_val_auc_from_training,best_val_ap_from_training,repro_seed,torch_version,torchvision_version,feature_based_note
val,baseline_mil,Baseline MIL,topk,4.0,0.9485553536810688,0.9402545127125251,0.8471960354823447,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,29,0.9485553536810688,0.9402545127125251,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,baseline_mil,Baseline MIL,max,,0.9427287056425123,0.9332978354244463,0.8678270722891658,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,29,0.9485553536810688,0.9402545127125251,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,topk,4.0,0.9391752754820936,0.9527152326138987,0.9198320673059193,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,29,0.9485553536810688,0.9402545127125251,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,max,,0.9351154729109276,0.9516507390915749,0.9203322355307227,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,29,0.9485553536810688,0.9402545127125251,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,topk,4.0,0.9169990366459326,0.9009402867963459,0.8336800909901256,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,1,0.9169990366459326,0.9009402867963459,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,max,,0.9156324777415306,0.9012178557743795,0.8437097200591163,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,1,0.9169990366459326,0.9009402867963459,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,topk,4.0,0.9044310146923783,0.9299040343341273,0.8973979454779252,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,1,0.9169990366459326,0.9009402867963459,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,max,,0.900869375573921,0.9230028234689343,0.8967590092836828,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,1,0.9169990366459326,0.9009402867963459,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,bigru_mil,BiGRU-MIL,topk,4.0,0.9445325167560876,0.9295559026484707,0.9409012909865406,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,3,0.9445325167560876,0.9295559026484707,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,bigru_mil,BiGRU-MIL,max,,0.9427073677347048,0.9241006552710171,0.9406836593012879,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,3,0.9445325167560876,0.9295559026484707,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,bigru_mil,BiGRU-MIL,topk,4.0,0.9477347337006428,0.9607946423787125,0.9462602598892638,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,3,0.9445325167560876,0.9295559026484707,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,bigru_mil,BiGRU-MIL,max,,0.9462038567493114,0.9577732467469803,0.9456744960806298,1248513,1248513,/scratch/VAD/artifacts/metadata/mil_best_bigru.pth,3,0.9445325167560876,0.9295559026484707,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
