model,epoch,epoch_seconds,train_loss,val_auc,val_ap
baseline_mil,0,10.857567625120282,0.26803963397616476,0.9333583324996392,0.9319051032036832
baseline_mil,1,10.691127512138337,0.15899921478911175,0.9435014177465629,0.9451120512343412
baseline_mil,2,10.511580371297896,0.13195093428501498,0.9465185745904464,0.9475751181292577
baseline_mil,3,10.794919916894287,0.11425683188596,0.9488946613953874,0.9494367526100345
baseline_mil,4,10.631334848701954,0.09979780518971396,0.9485138438713447,0.9481356827145662
baseline_mil,5,10.606178458314389,0.08740688336181386,0.9500818885937339,0.9501634573817692
baseline_mil,6,10.656239472795278,0.07742207654500939,0.952211015350934,0.9526516749402736
baseline_mil,7,10.78442494571209,0.06828490835858565,0.9535910999236733,0.953589747208017
baseline_mil,8,10.334166505374014,0.06062831571687246,0.9539166487684763,0.9536009127641589
baseline_mil,9,10.747922648210078,0.05320085592078046,0.9538719907428459,0.9512045521453617
baseline_mil,10,10.444694030098617,0.047461271981797615,0.9557206930832298,0.9523715734345214
baseline_mil,11,10.42710503609851,0.041432555699235755,0.9558543173583529,0.9520975954662001
baseline_mil,12,10.373698943760246,0.03625792209286481,0.9567527248974671,0.9556744441921351
baseline_mil,13,10.517043726984411,0.03160581834207323,0.9588882646870687,0.9578224811480456
baseline_mil,14,10.610887209884822,0.02801002433428261,0.9600545037793748,0.9593471098848402
baseline_mil,15,10.594665076117963,0.02381350533484884,0.9614080034177964,0.9605577641651287
baseline_mil,16,10.512955251149833,0.020682714025657464,0.9619926387716082,0.960604272121798
baseline_mil,17,10.607652142178267,0.017578979714201793,0.9606568624227317,0.9562917688781918
baseline_mil,18,10.716523572336882,0.015463914425185063,0.9618077102372752,0.956072075493571
baseline_mil,19,10.31814262503758,0.013832056289050413,0.9629606568624228,0.9594325989058263
baseline_mil,20,10.225865211337805,0.011476086399506917,0.962572143699499,0.9587168372302649
baseline_mil,21,10.735948959831148,0.010491758473753162,0.9649626889774899,0.9613202558207583
baseline_mil,22,10.424785157199949,0.009257904556139345,0.9629177478456293,0.9572825664145668
baseline_mil,23,10.625496858730912,0.008284494393036091,0.9646330591120679,0.9627781444291129
baseline_mil,24,10.735955789219588,0.007279029946276318,0.9654545102623676,0.9649080368407527
baseline_mil,25,10.575612019747496,0.0063241872847537815,0.9647178277403529,0.9600667966181312
baseline_mil,26,10.670391411986202,0.005726841145222397,0.9652730797457081,0.9649420907153294
baseline_mil,27,10.63151619117707,0.005270138934519269,0.9653355776614726,0.9648895917596414
baseline_mil,28,10.565341230016202,0.004600283702553912,0.9655279686335085,0.964681258473977
baseline_mil,29,10.691467237193137,0.004570908351790374,0.9655813717033224,0.9643804465418432
attention_mil,0,17.149291730951518,0.2055745744077649,0.9521858296236856,0.9548394183508564
attention_mil,1,17.369292926974595,0.1052631004715941,0.9599325395631628,0.9629011791949713
attention_mil,2,17.615480499807745,0.07854089338846706,0.9648738393285858,0.9680775648127957
attention_mil,3,17.575020587071776,0.06095738103013485,0.9640648644413212,0.9679276538130412
attention_mil,4,18.13757992396131,0.049381480956312375,0.9668688754083061,0.9689963598888093
attention_mil,5,17.86285809520632,0.03905098253902027,0.9716285114558912,0.9737420238724562
attention_mil,6,18.166778572835028,0.0333481149218378,0.971707799856488,0.9735240431710798
attention_mil,7,17.06441520061344,0.0290005775145329,0.9734712671662303,0.9740209622881705
attention_mil,8,17.918174422811717,0.022547458553591762,0.9743964928408404,0.9740559547705175
attention_mil,9,17.473012700211257,0.01799462831414927,0.9727210589758783,0.9725168148615155
attention_mil,10,18.01462840475142,0.014339662833170112,0.9758053777590906,0.9736908769548325
attention_mil,11,18.322221686132252,0.013263878965694803,0.9759042550586584,0.9752988438425745
attention_mil,12,18.190826856996864,0.010407419092863171,0.9733166547850667,0.9692564145722955
attention_mil,13,17.84174183383584,0.00987534573164355,0.9767810914887866,0.9767412212011651
attention_mil,14,17.767804756294936,0.00842475387488938,0.9759781798321557,0.9706121479605133
attention_mil,15,17.982017449103296,0.006672030497857454,0.9771024427123816,0.9748427490335454
attention_mil,16,17.733171650208533,0.006077039752029499,0.9785907326318176,0.9759380142549389
attention_mil,17,17.706972339190543,0.005692225698955671,0.9810514714644545,0.979885173700228
attention_mil,18,17.5300096552819,0.005235842420470871,0.9765712104283836,0.9730650946989099
attention_mil,19,17.36463133012876,0.004957456945951393,0.9796203158336838,0.9775845876174121
attention_mil,20,17.782652656082064,0.004451914974038556,0.9798971256322375,0.9748678175981192
attention_mil,21,17.81212290516123,0.004415228837195491,0.9772927348738136,0.9753563299458372
