split,pooling,video_auc,video_ap
val,max,0.9812837398379671,0.9804794078685892
val,topk,0.9810514714644545,0.979885173700228
test,max,0.9685353535353535,0.9786969276063417
test,topk,0.9706137511478422,0.9823323172882554
