model,ap,segment_expanded_roc_auc_approx,num_parameters,inference_ms_per_bag
Baseline MIL,0.9643804465418432,0.9383844418908505,2100225,0.04244388546794653
Attention MIL,0.979885173700228,0.9824581424779995,3187713,0.33077674452215433
