split,model,pooling,video_auc,video_ap,segment_expanded_roc_auc_APPROX_not_frame_gt,num_parameters,repro_seed,torch_version,torchvision_version,repro_note
val,baseline_mil,topk,0.9655813717033224,0.9643804465418432,0.9383844418908505,2100225,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,baseline_mil,max,0.9595286351224761,0.9578609544711545,0.9073530075153473,2100225,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,baseline_mil,topk,0.9526620752984389,0.9660714776975634,0.9478978615628213,2100225,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,baseline_mil,max,0.9416267217630855,0.9617563464527619,0.9288757524944575,2100225,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,attention_mil,topk,0.9810514714644545,0.979885173700228,0.9824581424779995,3187713,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
val,attention_mil,max,0.9812837398379671,0.9804794078685892,0.9819836406756884,3187713,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,attention_mil,topk,0.9706137511478422,0.9823323172882554,0.9711393534949853,3187713,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
test,attention_mil,max,0.9685353535353535,0.9786969276063417,0.9682733303304943,3187713,42,2.5.1+cu121,0.20.1+cu121,seed=42; torch=2.5.1+cu121; torchvision=0.20.1+cu121. CPU: same seed should reproduce metrics. GPU: cuDNN/benchmark may add small nondeterminism unless torch.use_deterministic_algorithms(True) and cudnn flags are set.
