model,epoch,epoch_seconds,train_loss,val_auc,val_ap
baseline_mil,0,11.35477353213355,0.23116735779229078,0.9399929060201584,0.9439022778975924
baseline_mil,1,10.761777019128203,0.13765494544969942,0.9474679365870029,0.9416838537607701
baseline_mil,2,10.557500503957272,0.10275296703920085,0.9497654345948817,0.9527572413522745
baseline_mil,3,10.60640611499548,0.0776960094827884,0.9510848868612826,0.9498388467633916
baseline_mil,4,10.21251633996144,0.06539712508298333,0.9542972330913404,0.9588459696299143
baseline_mil,5,10.565778321120888,0.053959602558374356,0.9534651712874314,0.9520753856450102
baseline_mil,6,10.44784824969247,0.04754114637877531,0.9530386463324567,0.9487194710122392
baseline_mil,7,10.62335515813902,0.0416132100009447,0.9551025933603428,0.9486288816481239
baseline_mil,8,10.527472536079586,0.03668778649972678,0.9514046056766297,0.9454221280375357
baseline_mil,9,10.330129175912589,0.030990800891851748,0.9580664637350014,0.9604169558209221
baseline_mil,10,10.475028139073402,0.02695036233967453,0.959448880319523,0.9603985991199703
baseline_mil,11,10.54545207414776,0.024581125313159195,0.9527189275171094,0.9337385062435029
baseline_mil,12,10.671371121890843,0.021889170215120234,0.9522250074216275,0.936915321492346
baseline_mil,13,10.346763750072569,0.02113358509724472,0.9577087331276033,0.9613410849337145
baseline_mil,14,10.688264681957662,0.01895605040618019,0.9637325527623495,0.9598628785979094
baseline_mil,15,10.306738675106317,0.016963262514322654,0.9589948376255177,0.9543956771605284
baseline_mil,16,10.775293747894466,0.016566205881464683,0.9606538308074146,0.9631885472116821
baseline_mil,17,10.57257481617853,0.015759803426793905,0.9640196234127454,0.9654339138314945
baseline_mil,18,10.41318644490093,0.01326445296054204,0.9636595607935652,0.9646740343554735
baseline_mil,19,10.513263177126646,0.011776084182326837,0.9629084197985003,0.9597976113884339
baseline_mil,20,10.640574941877276,0.012332455973953776,0.9640802557190842,0.9670635986100058
baseline_mil,21,10.388416377827525,0.012367622311301103,0.9643810852389951,0.9656789053045148
baseline_mil,22,10.12994832592085,0.011888234520345993,0.9541887945434655,0.9518510219067647
baseline_mil,23,9.902353086974472,0.010757675374112742,0.9588860492758754,0.9597189219149752
baseline_mil,24,9.868392175994813,0.01066169436940588,0.9616321097500712,0.9550633927915477
baseline_mil,25,10.019239105284214,0.010222327723547963,0.964806793989846,0.9629768577058131
baseline_mil,26,10.419716401025653,0.009636167881169687,0.9625509223922804,0.9601629306498298
baseline_mil,27,10.367352466098964,0.00925923861674731,0.9663182874265154,0.9638969355367144
baseline_mil,28,10.650364492088556,0.008393580442847565,0.9673100920375091,0.965833153916358
baseline_mil,29,10.460511243902147,0.008438298747742198,0.9615630822013164,0.9542479951838384
attention_mil,0,17.950760771986097,0.18785326280154852,0.9378033801577979,0.9418507670772731
attention_mil,1,17.66589077329263,0.1229209822643308,0.9419359382371344,0.9403670237723559
attention_mil,2,16.859998553991318,0.10210021306342605,0.9436779510384798,0.9386489687046746
attention_mil,3,18.139586296863854,0.09289161207010198,0.9488937285906742,0.9465888883106462
attention_mil,4,18.326763433404267,0.08759353166457585,0.940278810664663,0.9431450190842804
attention_mil,5,17.545840098988265,0.08417660024315875,0.9599008242029241,0.960611083832166
attention_mil,6,17.64774447493255,0.07937519111177248,0.9451345255976771,0.9383967655718214
attention_mil,7,18.36736380495131,0.07981063048611028,0.9575795396748663,0.959155532783925
attention_mil,8,17.975176870822906,0.0803334677220618,0.9554063378949816,0.9570566426196266
attention_mil,9,18.424612367060035,0.08335605251418905,0.9583878149585963,0.9623631896069194
