split,pooling,video_auc,video_ap
val,max,0.9596051251089341,0.9601815894282397
val,topk,0.9599008242029241,0.960611083832166
test,max,0.9511866391184572,0.9688755092483937
test,topk,0.9514903581267218,0.9691048731333297
