epoch,baseline_loss,baseline_val_auc,baseline_val_ap,attention_loss,attention_val_auc,attention_val_ap
0,0.23116735779229078,0.9399929060201584,0.9439022778975924,0.18785326280154852,0.9378033801577979,0.9418507670772731
1,0.13765494544969942,0.9474679365870029,0.9416838537607701,0.1229209822643308,0.9419359382371344,0.9403670237723559
2,0.10275296703920085,0.9497654345948817,0.9527572413522745,0.10210021306342605,0.9436779510384798,0.9386489687046746
3,0.0776960094827884,0.9510848868612826,0.9498388467633916,0.09289161207010198,0.9488937285906742,0.9465888883106462
4,0.06539712508298333,0.9542972330913404,0.9588459696299143,0.08759353166457585,0.940278810664663,0.9431450190842804
5,0.053959602558374356,0.9534651712874314,0.9520753856450102,0.08417660024315875,0.9599008242029241,0.960611083832166
6,0.04754114637877531,0.9530386463324567,0.9487194710122392,0.07937519111177248,0.9451345255976771,0.9383967655718214
7,0.0416132100009447,0.9551025933603428,0.9486288816481239,0.07981063048611028,0.9575795396748663,0.959155532783925
8,0.03668778649972678,0.9514046056766297,0.9454221280375357,0.0803334677220618,0.9554063378949816,0.9570566426196266
9,0.030990800891851748,0.9580664637350014,0.9604169558209221,0.08335605251418905,0.9583878149585963,0.9623631896069194
10,0.02695036233967453,0.959448880319523,0.9603985991199703,0.08231095126978229,0.9553897806113275,0.9572909248248499
11,0.024581125313159195,0.9527189275171094,0.9337385062435029,,,
12,0.021889170215120234,0.9522250074216275,0.936915321492346,,,
13,0.02113358509724472,0.9577087331276033,0.9613410849337145,,,
14,0.01895605040618019,0.9637325527623495,0.9598628785979094,,,
15,0.016963262514322654,0.9589948376255177,0.9543956771605284,,,
16,0.016566205881464683,0.9606538308074146,0.9631885472116821,,,
17,0.015759803426793905,0.9640196234127454,0.9654339138314945,,,
18,0.01326445296054204,0.9636595607935652,0.9646740343554735,,,
19,0.011776084182326837,0.9629084197985003,0.9597976113884339,,,
20,0.012332455973953776,0.9640802557190842,0.9670635986100058,,,
21,0.012367622311301103,0.9643810852389951,0.9656789053045148,,,
22,0.011888234520345993,0.9541887945434655,0.9518510219067647,,,
23,0.010757675374112742,0.9588860492758754,0.9597189219149752,,,
24,0.01066169436940588,0.9616321097500712,0.9550633927915477,,,
25,0.010222327723547963,0.964806793989846,0.9629768577058131,,,
26,0.009636167881169687,0.9625509223922804,0.9601629306498298,,,
27,0.00925923861674731,0.9663182874265154,0.9638969355367144,,,
28,0.008393580442847565,0.9673100920375091,0.965833153916358,,,
29,0.008438298747742198,0.9615630822013164,0.9542479951838384,,,
