model,ap,segment_expanded_roc_auc_approx,num_parameters,inference_ms_per_bag
Baseline MIL,0.965833153916358,0.930463981620604,2100225,0.03763961140066385
Attention MIL,0.960611083832166,0.9580519387380186,3187713,0.3593333065509796
