split,model_key,model_name,pooling,topk_k,video_auc,video_ap,segment_label_expanded_auc_DIAGNOSTIC_not_frame_gt,official_frame_level_auc_available,num_parameters,best_epoch,video_auc_percent,video_ap_percent
test,attention_mil,Attention MIL,topk,4.0,0.9515061983471075,0.9610324412833675,0.8848313366937531,False,1743873,33,95.15061983471075,96.10324412833675
test,baseline_mil,Baseline MIL,topk,4.0,0.9320967630853995,0.953055126755976,0.7563384106201423,False,263169,40,93.20967630853994,95.3055126755976
val,attention_mil,Attention MIL,topk,4.0,0.9579493967435322,0.9491575622068757,0.8727690372363546,False,1743873,33,95.79493967435322,94.91575622068757
val,baseline_mil,Baseline MIL,topk,4.0,0.9346661247071284,0.931472449190469,0.7079815112195423,False,263169,40,93.46661247071285,93.1472449190469
