split,model_key,model_name,pooling,topk_k,video_auc,video_ap,segment_label_expanded_auc_DIAGNOSTIC_not_frame_gt,official_frame_level_auc_available,frame_level_note,num_parameters,trainable_parameters,checkpoint_path,best_epoch,best_val_auc_from_training,best_val_ap_from_training,repro_seed,torch_version,torchvision_version,feature_based_note
val,baseline_mil,Baseline MIL,topk,4.0,0.9346661247071284,0.931472449190469,0.7079815112195423,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,40,0.9346661247071284,0.931472449190469,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,baseline_mil,Baseline MIL,max,,0.9297414988259486,0.9262574414740288,0.7079815112195423,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,40,0.9346661247071284,0.931472449190469,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,topk,4.0,0.9320967630853995,0.953055126755976,0.7563384106201423,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,40,0.9346661247071284,0.931472449190469,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,baseline_mil,Baseline MIL,max,,0.9285949265381083,0.9520057373905887,0.7563384106201423,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,263169,263169,/scratch/VAD/artifacts/metadata/mil_best_baseline.pth,40,0.9346661247071284,0.931472449190469,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,topk,4.0,0.9579493967435322,0.9491575622068757,0.8727690372363546,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,33,0.9579493967435322,0.9491575622068757,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
val,attention_mil,Attention MIL,max,,0.948582405017743,0.9272749265089765,0.8727690372363546,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,33,0.9579493967435322,0.9491575622068757,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,topk,4.0,0.9515061983471075,0.9610324412833675,0.8848313366937531,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,33,0.9579493967435322,0.9491575622068757,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
test,attention_mil,Attention MIL,max,,0.9456652892561983,0.9522530485100618,0.8848313366937531,False,No frame-level temporal ground truth is used here. This is video-level MIL evaluation plus a weak segment-expanded diagnostic.,1743873,1743873,/scratch/VAD/artifacts/metadata/mil_best_attention.pth,33,0.9579493967435322,0.9491575622068757,42,2.5.1+cu121,0.20.1+cu121,Feature-based spatiotemporal MIL evaluation. UCF uses R(2+1)D clip-level features when USE_3D_FEATURES=True; XD uses aligned I3D RGB/Flow feature bags when DATASET_MODE includes XD.
