split,baseline_auc,attention_auc,auc_gain,baseline_ap,attention_ap,ap_gain,interpretation
val,0.9346661247071284,0.9579493967435322,0.02328327203640379,0.931472449190469,0.9491575622068757,0.01768511301640674,Attention MIL improves over Baseline MIL
test,0.9320967630853995,0.9515061983471075,0.01940943526170802,0.953055126755976,0.9610324412833675,0.007977314527391477,Attention MIL improves over Baseline MIL
