split,pooling,video_auc,video_ap
val,max,0.909252077562327,0.9096131708965101
val,topk,0.9133518005540167,0.9142476224642463
test,max,0.8967313019390581,0.8975111291595745
test,topk,0.8986149584487535,0.896714179648023
