model,epoch,epoch_seconds,train_loss,val_auc,val_ap
baseline_mil,0,1.3229531738907099,0.4436778629046354,0.8825484764542936,0.8936455897764556
baseline_mil,1,1.184177644085139,0.12249217219458315,0.9021606648199445,0.9093763736883398
baseline_mil,2,1.2505336180329323,0.04480817125653343,0.90404432132964,0.9084603071315475
baseline_mil,3,1.0794546329416335,0.017962467939258587,0.8975069252077562,0.9050775317250929
baseline_mil,4,1.0810412131249905,0.005857055521463687,0.8966204986149585,0.9046723297610106
baseline_mil,5,1.1062399419024587,0.001969637016334577,0.8920775623268697,0.9023028438401242
baseline_mil,6,1.1029168171808124,0.001187324134039763,0.9011634349030471,0.9083684148389137
attention_mil,0,1.6391375730745494,0.4335220468643839,0.8969529085872577,0.9040879405060642
attention_mil,1,1.6792874671518803,0.12242224498198706,0.9133518005540167,0.9142476224642463
attention_mil,2,1.6845469987019897,0.042869114858139684,0.9104709141274238,0.909030158529277
attention_mil,3,1.6500299628823996,0.017512495293187002,0.9026038781163435,0.9017041430639373
attention_mil,4,1.6500281426124275,0.008506153333741837,0.8982825484764542,0.8982982383721057
attention_mil,5,1.5833508227951825,0.005027460268990437,0.894404432132964,0.8905291754185352
