model,ap,segment_expanded_roc_auc_approx,num_parameters,inference_ms_per_bag
Baseline MIL,0.9084603071315475,0.8938284904565977,6294529,0.055409129709005356
Attention MIL,0.9142476224642463,0.8994513251513483,7382017,0.3475483972579241
